name,picture,address,city,province,postalCode,phone,website,price,rating,tag
Daily Bread Cafe,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\daily-bread.jpg,92 Dysart Rd,Winnipeg,MB,R3T 2M7,1 204-474-8541,dailybreadcafe.ca,$,3,Cafe
Hsieh Family Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\hseih.jpg,230 Dalhousie Dr,Winnipeg,MB,R3T 2Z1,1 204-275-8215,,$$,2,Chinese
Hai Shang Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\hai-shang.jpg,2991 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-505-1887,,$$,3,Chinese
Mo Mo Japanese Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\momo.jpg,2855 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-275-6539,,$$,3,Japanese
McDonald's,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\mcdonalds-south.jpg,3045 Pembina Highway,Winnipeg,MB,R3T 5H5,1 204-949-6083,mcdonalds.ca,$,3,Burger
Bangali Sweets,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\bangali.jpg,2985 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-505-1786,surajb693.wix.com,$$,4,Bakery
Park Avenue Family Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\park-avenue-restaurant.jpg,2935 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-275-7711,fourpointswinnipegsouth.com,$$$,4,Cafe
Southland Restaurant,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\southland.jpg,2855 Pembina Highway,Winnipeg,MB,R3T 2H5,1 204-261-3510,,$$,3,Chinese
Smitty's,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\smitty-s-pembina.jpg,2835 Pembina Highway,Winnipeg,MB,R3T 4Z8,1 204-261-9614,smittys.ca,$$,3,Family Restaurant
Desi Pizza & Sweets,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\desi.jpg,2835 Pembina Highway,Winnipeg,MB,R3T 4Z8,1 204-275-6600,desipizzasweetswinnipeg.com,$,4,Pizza
Burger King,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\bk.jpg,2829 Pembina Highway,Winnipeg,MB,R3T 4Z8,1 204-987-8432,burgerking.ca,$,3,Burger
Eat On Samosa,C:\Users\riley\Documents\School\Comp 3020 Human-Computer Interaction\Project\Milestone 3\images\eat-on-samosa.jpg,2810 Pembina Highway,Winnipeg,MB,R3T 5P3,1 204-338-280,eatonsamosa.com,$,4,Indian
